"Name","TankType","Capacity","CapacityUnits","Diameter","DiameterUnits","MaxOperatingDepth","MaxOperatingDepthUnits","Ventilation","InServiceDate","InterimStabilization","IntrusionPrevention","OperationCapacityKGal","TankStatus","TankIntegrity","DIL_Gal"
"241-TY-103","SST-3","758","kgal","75","ft","275","in","Passive","7/1953","February 1983","October 1984","758","","Assumed leaker","21000"
"241-TY-104","SST-3","758","kgal","75","ft","275","in","Passive","8/1953","November 1983","December 1982","758","WI","Assumed leaker","0"
"241-TY-105","SST-3","758","kgal","75","ft","275","in","Passive","1/1953","February 1983","October 1984","758","","Assumed leaker","7300"
"241-TY-106","SST-3","758","kgal","75","ft","275","in","Passive","6/1953","November 1978","December 1982","758","","Assumed leaker","0"
"241-U-101","SST-2","530","kgal","75","ft","185","in","Passive","2/1946","September 1979","September 1982","530","WI","Assumed leaker","0"
"241-U-102","SST-2","530","kgal","75","ft","185","in","Passive","6/1946","June 2002","September 1982","530","WI","Sound","40000"
"241-U-103","SST-2","530","kgal","75","ft","185","in","Passive","2/1947","September 2000","","530","","Sound","31000"
"241-U-104","SST-2","530","kgal","75","ft","185","in","Passive","7/1947","October 1978","December 1982","530","","Assumed leaker","8800"
"241-U-105","SST-2","530","kgal","75","ft","185","in","Passive","12/1947","March 2001","","530","WI","Sound","49000"
"241-U-106","SST-2","530","kgal","75","ft","185","in","Passive","5/1948","March 2001","","530","","Sound","40000"
"241-U-107","SST-2","530","kgal","75","ft","185","in","Passive","9/1948","October 2003","","530","","Sound","56000"
"241-U-108","SST-2","530","kgal","75","ft","185","in","Passive","1/1949","","","530","","Sound","68000"
"241-U-109","SST-2","530","kgal","75","ft","185","in","Passive","3/1949","May 2002","","530","WI","Sound","76000"
"241-U-110","SST-2","530","kgal","75","ft","185","in","Passive","7/1946","December 1984","","530","","Assumed leaker","2700"
"241-U-111","SST-2","530","kgal","75","ft","185","in","Passive","4/1947","June 2003","","530","WI","Sound","39000"
"241-U-112","SST-2","530","kgal","75","ft","185","in","Passive","10/1947","September 1979","December 1982","530","","Assumed leaker","200"
"241-U-201","SST-1","55","kgal","20","ft","280","in","Passive","1956","August 1979","September 1982","55","","Sound","200"
"241-U-202","SST-1","55","kgal","20","ft","280","in","Passive","1956","August 1979","September 1982","55","","Sound","100"
"241-U-203","SST-1","55","kgal","20","ft","280","in","","1956","August 1979","September 1982","55","","Sound","0"
"241-U-204","SST-1","55","kgal","20","ft","280","in","","1954","August 1979","September 1982","55","","Sound","0"
